record_type,record_id,amount,diagnosis,action_taken,explanation,recovered,recovered_amount,is_exception,ai_explanation
payment,pay_1000,570.16,bank_timeout,auto_retry,"Failure was 'bank_timeout', which is usually temporary. Safe to auto-retry.",True,570.16,False,The payment of ₹570.16 was automatically retried due to a bank timeout error that occurred during the initial processing attempt.
payment,pay_1001,10215.15,network_error,give_up_flag_human,Already retried 3 times. Stopping — flagging for a human to check.,False,0.0,True,The payment of ₹10215.15 was flagged for human review due to a network error that prevented successful processing.
payment,pay_1002,1586.69,card_declined,request_alternate_payment_method,Card was declined. Asking the customer to try a different payment method.,True,1586.69,False,"The payment of ₹1586.69 was declined due to a card issue, so we requested an alternate payment method to complete the transaction."
payment,pay_1003,6408.89,3ds_failed,send_auth_reminder,Authentication step failed. Ask the customer to complete verification again.,True,6408.89,False,"The payment of ₹6408.89 was flagged for a 3DS authentication failure, so we sent an authentication reminder to the customer to complete the payment securely."
payment,pay_1004,5235.71,card_declined,request_alternate_payment_method,Card was declined. Asking the customer to try a different payment method.,False,0.0,False,"The customer's payment of ₹5235.71 was declined due to a card issue, so we requested an alternate payment method to complete the transaction."
payment,pay_1005,5822.92,bank_timeout,auto_retry,"Failure was 'bank_timeout', which is usually temporary. Safe to auto-retry.",True,5822.92,False,The payment of ₹5822.92 was automatically retried due to a bank timeout error.
payment,pay_1006,8136.18,3ds_failed,send_auth_reminder,Authentication step failed. Ask the customer to complete verification again.,True,8136.18,False,"The payment failed due to a 3D Secure authentication issue, so we are sending a reminder to the customer to complete the authentication process."
payment,pay_1007,13304.69,bank_timeout,auto_retry,"Failure was 'bank_timeout', which is usually temporary. Safe to auto-retry.",False,0.0,False,"The payment of ₹13304.69 was automatically retried due to a bank timeout error, ensuring timely processing of the transaction."
payment,pay_1008,11641.41,insufficient_funds,send_payment_link_reminder,Insufficient funds — retrying won't help. Send a reminder instead so the customer can try again later.,False,0.0,False,"The payment link reminder was sent due to insufficient funds in the customer's account, which prevented the payment of ₹11641.41 from being processed successfully."
payment,pay_1009,6910.47,bank_timeout,auto_retry,"Failure was 'bank_timeout', which is usually temporary. Safe to auto-retry.",False,0.0,False,"The payment of ₹6910.47 was automatically retried due to a bank timeout error, ensuring timely processing of the transaction."
payment,pay_1010,10118.59,insufficient_funds,send_payment_link_reminder,Insufficient funds — retrying won't help. Send a reminder instead so the customer can try again later.,False,0.0,False,The payment link reminder was sent because the customer's account had insufficient funds to process the payment of ₹10118.59.
payment,pay_1011,5815.94,network_error,auto_retry,"Failure was 'network_error', which is usually temporary. Safe to auto-retry.",True,5815.94,False,The payment of ₹5815.94 was automatically retried due to a network error that occurred during the initial processing attempt.
payment,pay_1012,12362.68,bank_timeout,auto_retry,"Failure was 'bank_timeout', which is usually temporary. Safe to auto-retry.",False,0.0,False,"The payment of ₹12362.68 was automatically retried due to a bank timeout error, ensuring timely processing of the transaction."
payment,pay_1013,13714.41,network_error,auto_retry,"Failure was 'network_error', which is usually temporary. Safe to auto-retry.",True,13714.41,False,The payment of ₹13714.41 was automatically retried due to a network error that occurred during the initial processing attempt.
