record_type,record_id,amount,diagnosis,action_taken,explanation,recovered,recovered_amount,is_exception
payment,pay_1000,570.16,bank_timeout,auto_retry,"Failure was 'bank_timeout', which is usually temporary. Safe to auto-retry.",True,570.16,False
payment,pay_1001,10215.15,network_error,give_up_flag_human,Already retried 3 times. Stopping — flagging for a human to check.,False,0.0,True
payment,pay_1002,1586.69,card_declined,request_alternate_payment_method,Card was declined. Asking the customer to try a different payment method.,True,1586.69,False
payment,pay_1003,6408.89,3ds_failed,send_auth_reminder,Authentication step failed. Ask the customer to complete verification again.,True,6408.89,False
payment,pay_1004,5235.71,card_declined,request_alternate_payment_method,Card was declined. Asking the customer to try a different payment method.,False,0.0,False
payment,pay_1005,5822.92,bank_timeout,auto_retry,"Failure was 'bank_timeout', which is usually temporary. Safe to auto-retry.",True,5822.92,False
payment,pay_1006,8136.18,3ds_failed,send_auth_reminder,Authentication step failed. Ask the customer to complete verification again.,True,8136.18,False
payment,pay_1007,13304.69,bank_timeout,auto_retry,"Failure was 'bank_timeout', which is usually temporary. Safe to auto-retry.",False,0.0,False
payment,pay_1008,11641.41,insufficient_funds,send_payment_link_reminder,Insufficient funds — retrying won't help. Send a reminder instead so the customer can try again later.,False,0.0,False
payment,pay_1009,6910.47,bank_timeout,auto_retry,"Failure was 'bank_timeout', which is usually temporary. Safe to auto-retry.",False,0.0,False
payment,pay_1010,10118.59,insufficient_funds,send_payment_link_reminder,Insufficient funds — retrying won't help. Send a reminder instead so the customer can try again later.,False,0.0,False
payment,pay_1011,5815.94,network_error,auto_retry,"Failure was 'network_error', which is usually temporary. Safe to auto-retry.",True,5815.94,False
payment,pay_1012,12362.68,bank_timeout,auto_retry,"Failure was 'bank_timeout', which is usually temporary. Safe to auto-retry.",False,0.0,False
payment,pay_1013,13714.41,network_error,auto_retry,"Failure was 'network_error', which is usually temporary. Safe to auto-retry.",True,13714.41,False
payment,pay_1014,6055.35,3ds_failed,send_auth_reminder,Authentication step failed. Ask the customer to complete verification again.,False,0.0,False
payment,pay_1015,11225.84,network_error,give_up_flag_human,Already retried 3 times. Stopping — flagging for a human to check.,False,0.0,True
payment,pay_1016,5557.55,card_declined,request_alternate_payment_method,Card was declined. Asking the customer to try a different payment method.,False,0.0,False
payment,pay_1017,2462.05,card_declined,request_alternate_payment_method,Card was declined. Asking the customer to try a different payment method.,False,0.0,False
payment,pay_1018,9019.15,3ds_failed,send_auth_reminder,Authentication step failed. Ask the customer to complete verification again.,True,9019.15,False
payment,pay_1019,10289.31,network_error,auto_retry,"Failure was 'network_error', which is usually temporary. Safe to auto-retry.",False,0.0,False
payment,pay_1020,6634.53,3ds_failed,send_auth_reminder,Authentication step failed. Ask the customer to complete verification again.,False,0.0,False
payment,pay_1021,7713.69,insufficient_funds,send_payment_link_reminder,Insufficient funds — retrying won't help. Send a reminder instead so the customer can try again later.,True,7713.69,False
payment,pay_1022,11485.16,network_error,auto_retry,"Failure was 'network_error', which is usually temporary. Safe to auto-retry.",False,0.0,False
payment,pay_1023,1855.64,bank_timeout,auto_retry,"Failure was 'bank_timeout', which is usually temporary. Safe to auto-retry.",True,1855.64,False
