invoice_id,customer_id,amount,due_date,days_overdue,past_payment_behavior,contact_email
inv_2000,cust_26,131932.22,2026-08-04,21,always_on_time,business0@example.com
inv_2001,cust_7,76309.34,2026-08-20,5,chronic_late,business1@example.com
inv_2002,cust_14,12311.65,2026-08-21,4,chronic_late,business2@example.com
inv_2003,cust_5,51929.29,2026-07-28,28,sometimes_late,business3@example.com
inv_2004,cust_4,166236.16,2026-07-20,36,sometimes_late,business4@example.com
inv_2005,cust_38,189803.24,2026-08-17,8,always_on_time,business5@example.com
inv_2006,cust_26,14669.92,2026-07-19,37,chronic_late,business6@example.com
inv_2007,cust_36,172401.35,2026-08-10,15,always_on_time,business7@example.com
inv_2008,cust_10,110433.75,2026-08-06,19,sometimes_late,business8@example.com
inv_2009,cust_36,164144.64,2026-07-19,37,sometimes_late,business9@example.com
inv_2010,cust_38,116384.86,2026-08-13,12,always_on_time,business10@example.com
inv_2011,cust_7,111810.17,2026-08-12,13,sometimes_late,business11@example.com
inv_2012,cust_4,125706.87,2026-08-20,5,chronic_late,business12@example.com
inv_2013,cust_35,88380.5,2026-07-24,32,chronic_late,business13@example.com
inv_2014,cust_38,185071.07,2026-08-04,21,sometimes_late,business14@example.com
inv_2015,cust_16,159904.0,2026-08-01,24,sometimes_late,business15@example.com
inv_2016,cust_6,117012.62,2026-07-11,45,always_on_time,business16@example.com
inv_2017,cust_22,147241.83,2026-07-22,34,sometimes_late,business17@example.com
inv_2018,cust_5,28022.83,2026-08-06,19,chronic_late,business18@example.com
inv_2019,cust_22,34636.98,2026-07-29,27,always_on_time,business19@example.com
inv_2020,cust_3,192593.72,2026-07-24,32,sometimes_late,business20@example.com
inv_2021,cust_37,158873.36,2026-08-20,5,chronic_late,business21@example.com
inv_2022,cust_22,140582.6,2026-07-03,53,sometimes_late,business22@example.com
inv_2023,cust_38,160393.94,2026-07-17,39,sometimes_late,business23@example.com
inv_2024,cust_18,97449.18,2026-08-20,5,always_on_time,business24@example.com
inv_2025,cust_4,147576.07,2026-07-13,43,always_on_time,business25@example.com
inv_2026,cust_37,198653.71,2026-08-05,20,chronic_late,business26@example.com
inv_2027,cust_19,144742.42,2026-07-03,53,sometimes_late,business27@example.com
inv_2028,cust_23,9399.77,2026-06-29,57,chronic_late,business28@example.com
inv_2029,cust_11,124129.31,2026-07-26,30,sometimes_late,business29@example.com
inv_2030,cust_14,154805.43,2026-07-24,32,always_on_time,business30@example.com
inv_2031,cust_16,82590.05,2026-08-16,9,chronic_late,business31@example.com
inv_2032,cust_6,37441.43,2026-06-27,59,sometimes_late,business32@example.com
inv_2033,cust_18,177259.85,2026-07-30,26,chronic_late,business33@example.com
inv_2034,cust_36,59292.11,2026-07-03,53,sometimes_late,business34@example.com
inv_2035,cust_25,191757.58,2026-07-29,27,sometimes_late,business35@example.com
inv_2036,cust_12,34503.18,2026-08-15,10,always_on_time,business36@example.com
inv_2037,cust_1,99567.73,2026-07-13,43,always_on_time,business37@example.com
inv_2038,cust_17,59976.49,2026-07-18,38,always_on_time,business38@example.com
inv_2039,cust_35,77004.45,2026-08-15,10,sometimes_late,business39@example.com
inv_2040,cust_9,139646.26,2026-07-19,37,sometimes_late,business40@example.com
inv_2041,cust_4,94045.53,2026-07-23,33,chronic_late,business41@example.com
inv_2042,cust_36,81513.89,2026-06-30,56,chronic_late,business42@example.com
inv_2043,cust_7,98896.95,2026-07-30,26,sometimes_late,business43@example.com
inv_2044,cust_13,18132.79,2026-07-30,26,always_on_time,business44@example.com
inv_2045,cust_11,26436.02,2026-08-11,14,sometimes_late,business45@example.com
inv_2046,cust_7,5045.49,2026-07-17,39,always_on_time,business46@example.com
inv_2047,cust_7,190045.01,2026-08-15,10,chronic_late,business47@example.com
inv_2048,cust_5,175494.81,2026-07-16,40,always_on_time,business48@example.com
inv_2049,cust_10,128709.87,2026-07-16,40,sometimes_late,business49@example.com
